Date,Open,High,Low,Close,Volume
2023-06-21,53890.36909829074,54457.63712683621,53827.34098158176,54079.4609375,4053515
2023-06-22,54268.55104163066,54520.66726234314,53386.13490778375,53890.37109375,1550834
2023-06-23,53953.40198486627,53953.40198486627,53449.16206344726,53638.25390625,2367696
2023-06-26,53638.25288691365,54079.4609375,53323.104814286424,54079.4609375,2646021
2023-06-27,54205.518249236084,55024.90625,54205.518249236084,55024.90625,2642975
2023-06-28,55087.936538827686,55340.05650969675,54835.8203125,54835.8203125,1949455
2023-06-29,54835.81980167118,54898.847921530614,54520.66796875,54520.66796875,1942307
2023-06-30,54520.67154656081,54583.70341509792,54205.5234375,54205.5234375,1815163
2023-07-03,54520.668745757685,54709.76059711353,54205.52065288647,54457.640625,2196370
2023-07-04,54457.64035619641,54835.8203125,54331.58037076188,54835.8203125,2019872
2023-07-05,54435.58191566428,55450.36012990334,54218.12890625,54218.12890625,3319764
2023-07-06,54218.12616379047,54508.06224683017,53638.25399771106,54073.15625,2383010
2023-07-07,53783.22168795704,54725.51679289024,53783.22168795704,54580.546875,1587924
2023-07-10,54580.546875,55015.45288412937,54290.610783760865,54580.546875,1944470
2023-07-11,54580.54675408294,54653.033585138146,54363.09375,54363.09375,2724614
2023-07-12,54363.09387043531,54870.482966239135,54290.610783760865,54580.546875,1720438
2023-07-13,54942.96875,54942.96875,54653.03266428832,54942.96875,1791838
2023-07-14,55740.2921720935,56755.0703125,55160.416274331816,56755.0703125,3733151
2023-07-17,57262.4609375,57407.4271074707,56900.038023490764,57262.4609375,1649554
2023-07-18,57262.46081151888,57262.46081151888,56610.10181446223,57045.0078125,2218359
2023-07-19,56900.0390625,57189.97515227695,56755.07288988218,56900.0390625,1258886
2023-07-20,56972.522704278,58929.59601003008,56900.0396172624,58204.75390625,3087119
2023-07-21,57769.849397377395,58712.14453125,57697.36630847687,58712.14453125,1816618
2023-07-24,58712.14453125,58929.597542493015,58422.208431106454,58712.14453125,8186040
2023-07-25,58712.14075275146,59581.94899720441,58712.14075275146,58929.59375,1947001
2023-07-26,58857.1175376057,59944.37890625,58784.63070036554,59944.37890625,1841251
2023-07-27,60016.85970700098,61176.60786859652,60016.85970700098,60669.21875,2352742
2023-07-28,60524.25031593739,61176.609375,60234.31420453453,61176.609375,1188159
2023-07-31,61394.058906958555,62191.384152787025,61176.60963090302,62046.41796875,2000050
2023-08-01,62046.415052098135,62553.80416145981,61249.08984375,61249.08984375,1900848
2023-08-02,61249.08424093126,61466.537231414746,60524.2421875,60524.2421875,2270116
2023-08-03,60741.7018399305,61031.63794419401,60089.34279693148,60669.21875,1332970
2023-08-04,60886.66644925874,61249.08937864579,60379.27734375,60379.27734375,3316598
2023-08-07,60596.73081262437,61249.08984375,60379.27780224916,61249.08984375,995203
2023-08-08,60886.66679725832,61321.57281719193,60741.70062030807,61031.63671875,1197809
2023-08-09,60886.66384750457,61394.052931332015,60161.82550878644,60234.30859375,1946764
2023-08-10,60234.308212921314,60379.2743819319,59581.94921875,59581.94921875,1842677
2023-08-11,59436.98046875,60161.82251595109,59074.557572878926,59436.98046875,1697245
2023-08-14,59509.46770383203,60306.79288804371,59436.984617414964,59871.890625,1341164
2023-08-15,59871.88963580312,61104.117062699785,59074.56072022349,60886.6640625,2268895
2023-08-16,60306.79096063447,61756.475109891704,60306.79096063447,61683.98828125,5561650
2023-08-17,61611.50943797921,63206.15986520007,61611.50943797921,62336.3515625,5730403
2023-08-18,62046.41277344932,63713.54996207284,61104.11767794294,61973.9296875,5665198
2023-08-21,62263.8671875,62843.73937732418,61973.9310925879,62263.8671875,4933212
2023-08-22,62553.80335589436,62698.76953125,60161.82776165371,62698.76953125,5044044
2023-08-23,62626.28644357218,62916.22628336625,61394.05523034225,62698.76953125,7091908
2023-08-24,62936.15854196518,66322.19822381082,62641.717002082645,66248.5859375,8342066
2023-08-25,65880.54520457478,66984.68395904843,65586.103640165,66690.25,4868649
2023-08-28,67720.78395364653,69413.80583409609,66984.68384653912,69192.9765625,4714315
2023-08-29,69192.98064378259,69192.98064378259,68309.66350529662,68898.5390625,4717091
2023-08-30,68604.09363082919,72284.57136080578,68530.48894366091,71106.8203125,4227237
2023-08-31,71106.81739798759,71769.30518751619,70738.77116114761,71180.4296875,2173791
2023-09-05,71474.86050350162,72652.61905729723,71254.03125,71254.03125,2636535
2023-09-06,71474.85756274615,72873.4453125,70885.98211275735,72873.4453125,3618889
2023-09-07,72873.45479981927,74198.4228334502,71842.92072683462,72063.75,4815354
2023-09-08,71769.3095809813,72505.40209972227,71401.26332161082,71842.921875,3485578
2023-09-11,72652.62468694372,73241.50020679146,70149.89802356984,71695.6953125,7776047
2023-09-12,71695.6973653203,72799.84375,71695.6973653203,72799.84375,5305224
2023-09-13,72799.83935329727,72873.45164295065,71695.69303530183,72137.3515625,6316417
2023-09-14,72137.35991889787,72137.35991889787,70297.1209126394,70591.5625,4211763
2023-09-15,70665.15837931159,71990.13394913769,70149.89517239766,71769.3046875,3706965
2023-09-18,71327.640625,71327.640625,70444.32364704668,71327.640625,3503961
2023-09-19,71254.03052075805,72431.7890625,70591.55037239395,72431.7890625,5813444
2023-09-20,72726.22770304058,73388.71549966233,72505.3984375,72505.3984375,3522476
2023-09-21,72505.39448472233,72799.8360245114,70885.98502928419,71254.03125,5922021
2023-09-22,70002.67868746765,71401.2589506762,68162.43989790669,71180.4296875,10326872
2023-09-25,71401.26049367413,71842.91902957085,69413.8046875,69413.8046875,4167168
2023-09-26,69340.1927042879,70297.11446607238,68530.48792000227,68824.921875,3396178
2023-09-27,69119.36312844843,69413.8046875,66543.03180953239,69413.8046875,6877529
2023-09-28,69266.58124945781,69413.80583409609,67279.12541045435,69192.9765625,2786241
2023-09-29,69192.98120819121,69855.46146209778,68309.6640625,68309.6640625,4538818
2023-10-02,68751.31050604934,69045.74443242699,67720.77655300651,68604.0859375,2100313
2023-10-03,67868.0078125,68824.92968284247,67352.74453011932,67868.0078125,3767271
2023-10-04,67205.51106559328,68751.31591955504,67205.51106559328,68088.828125,3581593
2023-10-05,68309.65293935707,68677.69915501063,67426.3359375,67426.3359375,1956108
2023-10-06,67352.73739797433,68309.65916698602,66984.68354340555,68236.046875,1771619
2023-10-09,68015.21690223925,70370.7265625,67867.99992514834,70370.7265625,6578113
2023-10-10,71033.208946216,71548.47212939007,70223.50422597057,70885.984375,7681210
2023-10-11,70591.55306221478,72137.35027444625,70591.55306221478,71401.2578125,3857465
2023-10-12,71401.2600959365,71990.13560539811,70665.1600050886,70959.6015625,2908572
2023-10-13,70665.15334124862,70885.98258714231,70149.8901710703,70738.765625,3927823
2023-10-16,71254.03125,72799.8360245114,70885.98502928419,71254.03125,9220997
2023-10-17,71990.13260210781,71990.13260210781,68530.484375,68530.484375,3628145
2023-10-18,69855.45528680053,69855.45528680053,66984.68242244533,68456.875,10451319
2023-10-19,69192.97380007849,69413.80306285831,67720.78125,67720.78125,7937083
2023-10-20,68088.83186639819,68456.87812625432,66322.20525587187,68383.2734375,5116056
2023-10-23,69045.7476908521,69045.7476908521,66837.46271736367,66984.6796875,4032964
2023-10-24,68015.21519679908,68015.21519679908,66837.4641988807,67720.78125,3535707
2023-10-25,67573.55803969315,68236.03816152597,66911.0703125,66911.0703125,3399748
2023-10-26,64997.22860654476,66174.97966233706,63304.21051317315,63893.08984375,8065825
2023-10-27,64408.350929484026,64776.39717146806,63525.03766711402,64040.3046875,3272921
2023-10-30,64040.30588200723,64113.91817392154,62568.11328125,62568.11328125,2628202
2023-10-31,62641.723101403084,62788.94388567899,61095.92578125,61095.92578125,4082820
2023-11-01,62052.845994981704,62862.55078125,60801.486472454744,62862.55078125,6681931
2023-11-02,63598.64881415567,65512.5,63230.60255678293,65512.5,4945222
2023-11-03,65512.49726079726,65659.71423651864,64040.3046875,64040.3046875,7206439
2023-11-06,64923.62364516125,65438.88687788728,64629.18207977397,65144.4453125,2639808
2023-11-07,65144.443538503976,65365.27280519053,64702.79261049203,64997.2265625,1772412
2023-11-08,64923.61856116986,68162.4375,64776.39398732429,68162.4375,5503052
2023-11-09,67720.78188536757,68677.70362948411,67573.5649105868,68088.828125,3981781
2023-11-10,67352.7265625,68236.03589742193,67205.50200221296,67352.7265625,3905077
2023-11-13,67426.34197837881,67720.78354049772,66616.63718925342,67279.125,2657562
2023-11-14,67720.77898918484,68751.31297929995,67205.50819144689,68162.4375,2946925
2023-11-15,68972.14814049078,69045.75282835524,67720.78478781931,68015.21875,3900448
2023-11-16,67867.99949005037,68456.875,67426.34095624785,68456.875,3248589
2023-11-17,68751.31375057944,68824.91843296717,66690.24574722734,66984.6796875,5093342
2023-11-20,66322.20861118406,68162.4476089259,65586.10844887019,66763.8671875,2928806
2023-11-21,67720.78416755165,67720.78416755165,66763.86239118692,67647.171875,2186619
2023-11-22,67647.1702231491,68530.48729075414,67647.1702231491,68456.875,4488960
2023-11-23,68677.69963396211,68972.14117175475,66837.4609375,66837.4609375,3480157
2023-11-24,66837.46469565145,67720.78175333602,66395.80616680917,67131.90625,3307438
2023-11-27,67279.130456294,67279.130456294,66322.20861118406,66763.8671875,2885428
2023-11-28,66837.46760097973,67647.17240393358,66174.97977891892,67058.296875,4176188
2023-11-29,67426.3408343789,67720.78239150213,67058.29459199576,67499.953125,1236271
2023-11-30,67279.12562296444,68972.14750876164,67205.51333041278,67647.171875,3769255
2023-12-01,67868.00176890966,68383.27261076799,67205.51394596099,68015.21875,2480105
2023-12-04,68162.44651733621,69192.98064378259,68162.44651733621,68898.5390625,4862040
2023-12-05,69045.7514609039,70517.94405873482,68972.1467744972,69781.8515625,4855821
2023-12-06,69929.0703125,70223.51188167109,69266.58248588615,69929.0703125,2785315
2023-12-07,70002.68020024191,70149.8971770871,68309.65834775814,69413.8046875,6666629
2023-12-08,69413.80760669896,70002.68314420605,68824.92446383035,69340.1953125,2597613
2023-12-11,70297.11656994277,70444.33355184758,69634.62874332891,69929.0703125,2409328
2023-12-12,70223.50487414,71254.03125,70149.89258785255,71254.03125,7013331
2023-12-13,71695.69872039669,71695.69872039669,70076.2890625,70076.2890625,6207110
2023-12-14,70517.9412624649,70959.59978483708,70076.28274009272,70812.3828125,8102738
2023-12-15,70812.3828125,70885.98749598805,69929.06576775564,70812.3828125,3159981
2023-12-18,70591.55687903434,70812.38615063042,68972.14729090391,69192.9765625,8675465
2023-12-19,69119.36178835128,69634.625,68898.53252468439,69634.625,2858348
2023-12-20,69413.80821883073,69929.07146668276,69266.58362913449,69708.2421875,6634319
2023-12-21,69634.6258400411,70002.6796875,69192.97491274048,70002.6796875,2621513
2023-12-22,69929.06655334288,70002.67884301886,69487.40802600909,69634.625,2276417
2023-12-25,69855.45151684718,70812.38082356288,69781.8468354265,70665.15625,3623384
2023-12-26,71033.21334740047,72579.01059806018,70959.60105723148,71548.4765625,5673391
2023-12-27,71695.68683069375,71990.128358465,71327.640625,71327.640625,3030771
2023-12-28,71401.26187725713,71401.26187725713,70885.99104027249,71106.8203125,2104360
2023-12-29,71106.811833036,71401.25336268106,70738.765625,70738.765625,3226270
2024-01-02,71327.65506035862,71327.65506035862,70444.33790363873,70591.5625,2933007
2024-01-03,70370.72119182593,71033.208946216,70223.50422597057,70885.984375,2061643
2024-01-04,70885.9887670625,72431.79362308333,70812.38408225463,71548.4765625,3968292
